"","V1","V2"
"A0A7K5RVZ3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6R5C1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K5RFA2","C-C motif chemokine (Fragment)","4"
"A0A672Q4H4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7CD45","C-C motif chemokine (Fragment)","4"
"A0A6J2V8U7","C-C motif chemokine","4"
"A0A672LIS9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LVG7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673AKS1","C-C motif chemokine","4"
"A0A3Q1IF92","C-C motif chemokine","4"
"A0A7K8HEB4","C-C motif chemokine (Fragment)","4"
"A0A672Q4H9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q882","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q1IFC0","C-C motif chemokine","4"
"A0A7L1FW28","C-C motif chemokine (Fragment)","4"
"A0A7N6A734","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7N6FLW7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N6AJV5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K7C5H3","C-C motif chemokine (Fragment)","4"
"A0A7K7BXP5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7BQ21","C-C motif chemokine (Fragment)","4"
"A0A6J2VKH5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2V1I7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672MNZ0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3B3DCD0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6I9YHX1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A4W5R3I8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A060WHP4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A5J6VGE7","C-C motif chemokine","4"
"A0A678PDS7","Suppressor of cytokine signaling 1b","3"
"A0A7L2S535","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K4TB03","C-C motif chemokine (Fragment)","4"
"A0A7K9I6X7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A3B3V2J4","C-C motif chemokine","4"
"A0A2L2P6W2","C-C motif chemokine","4"
"A0A7L3MKS4","C-C motif chemokine (Fragment)","4"
"A0A3Q2ZM23","C-C motif chemokine","4"
"A0A3B3D0P6","C-C motif chemokine","4"
"A0A3B3BC02","C-C motif chemokine","4"
"A0A7L1BEH4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q0S4W1","C-C motif chemokine","4"
"A0A678NX54","Suppressor of cytokine signaling 4","3"
"A0A7K9HGS7","C-C motif chemokine (Fragment)","4"
"A0A7K9HNL6","C-C motif chemokine (Fragment)","4"
"A0A0U5AVH5","Interleukin","4"
"A0A0U5EJU7","Interleukin-12 subunit alpha (IL-12A)","4"
"I2FKQ2","RAD50 protein (Fragment)","4"
"A0A7K9U493","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"G1KPQ7","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6Q2YH09","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A7L4D7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A498N5Y8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"I6P4J6","Toll-like receptor 3 (Fragment)","1"
"A0A4W5LM70","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1BWH2","C-C motif chemokine (Fragment)","4"
"A0A060VXI2","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A0U5AVD4","Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (IL-12 subunit p40)","3"
"A0A4W5LRS7","C-C motif chemokine","4"
"A0A4W5QM97","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K5H8F3","C-C motif chemokine (Fragment)","4"
"A0A3Q0SHN2","C-C motif chemokine","4"
"A0A3Q0S4U6","C-C motif chemokine","4"
"A0A3Q0SXL9","C-C motif chemokine","4"
"A0A7K4T573","C-C motif chemokine (Fragment)","4"
"A0A7L2SHI1","C-C motif chemokine (Fragment)","4"
"A0A0P7UC83","C-X-C motif chemokine (Fragment)","4"
"A0A3N0XTU1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q4H3W4","C-C motif chemokine","4"
"A0A672Q076","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672RM79","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LAY2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672RM95","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q3MYV0","C-X-C motif chemokine","4"
"A0A672HMJ1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q3CH94","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6MIF6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q2V018","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7VQS3","C-C motif chemokine (Fragment)","4"
"A0A672IRN9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8XBA0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672HJH4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8YQM8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q3S9P9","C-C motif chemokine","4"
"A0A2D0RDR9","C-C motif chemokine","4"
"A0A7K6M9K0","C-C motif chemokine (Fragment)","4"
"U3J1C8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091MCT4","C-C motif chemokine (Fragment)","4"
"A0A3M0L046","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6FW30","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L0I739","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A4Z2IL05","C-C motif chemokine","4"
"A0A7K6JVJ5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091V364","C-C motif chemokine","4"
"A0A3M0JTU5","C-C motif chemokine","4"
"A0A091UK40","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6FQE0","C-X-C motif chemokine (Fragment)","4"
"A0A2D0REK8","C-C motif chemokine","4"
"A0A6P8V5V4","C-C motif chemokine","4"
"A0A4Z2H075","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7L1SK31","C-C motif chemokine (Fragment)","4"
"A0A7L1PAJ0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A3B3TAH6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3B3T748","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L0EQF1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A6I9HNR1","C-C motif chemokine","4"
"A0A7L3YLB0","C-C motif chemokine (Fragment)","4"
"A0A7L3YFY3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6D055","C-C motif chemokine (Fragment)","4"
"A0A3B3T1X6","C-C motif chemokine","4"
"A0A7K7PWX8","C-C motif chemokine (Fragment)","4"
"A0A6I9HCB5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9DRR6","C-C motif chemokine (Fragment)","4"
"A0A7L3YMK9","C-C motif chemokine (Fragment)","4"
"A0A091FPX6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091FJH1","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"C4NF88","Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)","4"
"A0A7K7SZ84","C-C motif chemokine (Fragment)","4"
"A0A7K7P0Y4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091UG35","C-C motif chemokine (Fragment)","4"
"A0A093PP09","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3REW9","C-X-C motif chemokine","4"
"A0A7K5PPJ2","C-C motif chemokine (Fragment)","4"
"A0A091TYJ0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"Q802H8","C-C motif chemokine","4"
"A0A5A9PS30","C-C motif chemokine","4"
"A0A3B3RZV6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"W5M8N6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"W5MAW2","C-C motif chemokine","4"
"W5MAU7","C-C motif chemokine","4"
"A0A218UZB9","C-C motif chemokine (Fragment)","4"
"A0A093PVX4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"W5M4K1","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3B3TAK2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A2I4C5H3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K9DA06","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L4JTF4","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"W5MIW2","C-C motif chemokine","4"
"A0A7L0EHH2","C-C motif chemokine (Fragment)","4"
"A0A7K7I836","C-C motif chemokine (Fragment)","4"
"A0A7K5JZW2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A5A9PE09","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"W5N741","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K9CSF5","C-C motif chemokine (Fragment)","4"
"A0A091G010","C-C motif chemokine (Fragment)","4"
"A0A7L4KDB1","C-C motif chemokine (Fragment)","4"
"A0A673Y3P6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673Y058","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6DG00","C-X-C motif chemokine (Fragment)","4"
"A0A7L0E8K1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L4K1D3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7DWE1","C-C motif chemokine (Fragment)","4"
"A0A7L3YLY5","C-C motif chemokine (Fragment)","4"
"A0A673Y485","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A668A302","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L0EH66","C-C motif chemokine (Fragment)","4"
"A0A2I4C1H2","C-X-C motif chemokine","4"
"A0A674BT07","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A668A714","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3Q3F6","C-X-C motif chemokine","4"
"A0A7L3YHR5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A673XZZ6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K5JZJ9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"C4NF87","Interleukin-1","3"
"A0A5A9P9W0","C-C motif chemokine","4"
"A0A7L1P3G4","C-C motif chemokine (Fragment)","4"
"A0A7K7J7J8","C-C motif chemokine (Fragment)","4"
"A0A3B3T7Q1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091V1G5","C-C motif chemokine (Fragment)","4"
"A0A5A9N3E5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L1P3C5","C-C motif chemokine (Fragment)","4"
"A0A091VCX4","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K6D0K9","C-C motif chemokine (Fragment)","4"
"A0A673YDP7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673XZQ6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674CFJ6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A0S7LZZ5","C-X-C motif chemokine","4"
"A0A7K9DRP8","C-C motif chemokine (Fragment)","4"
"A0A7L3S2P3","C-C motif chemokine (Fragment)","4"
"A0A7K7ERK3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6G310","C-C motif chemokine (Fragment)","4"
"A0A7K7SYZ5","C-C motif chemokine (Fragment)","4"
"A0A091FZC4","C-C motif chemokine (Fragment)","4"
"A0A091V3P9","C-C motif chemokine (Fragment)","4"
"A0A7K7J2Z7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"W5MIT7","C-C motif chemokine","4"
"A0A7L4JVC0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A7K5PE24","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K5PQ43","C-C motif chemokine (Fragment)","4"
"A0A673Y480","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A668A2B9","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A674CEV3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667YCR4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2YTJ8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2ZH56","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K7FP83","C-C motif chemokine (Fragment)","4"
"A0A674C493","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667Y2N8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2XXK1","C-C motif chemokine","4"
"A0A667Y9T2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667X353","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A667ZTU5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A674CG57","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2Z6T9","C-C motif chemokine","4"
"A0A5A9NGC0","C-C motif chemokine","4"
"W5MVN6","C-C motif chemokine","4"
"A0A7K7ITT8","C-C motif chemokine (Fragment)","4"
"A0A673WNA9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667YTG0","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7K7FGT1","C-C motif chemokine (Fragment)","4"
"A0A667ZLU9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091HJG9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091GNC2","C-C motif chemokine (Fragment)","4"
"A0A5A9PFT3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3Q4P4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3T6H7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667XJC8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667X122","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667XFX3","C-C motif chemokine","4"
"A0A673WWI4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667YJL0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674EIH9","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A674BGA9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"W5MVB5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7SKB3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A667YNY4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7EXA1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A673WLX8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y4N1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674BF48","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673YDW8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673XZM0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674AX35","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6I9HLV8","C-C motif chemokine","4"
"A0A3B3S648","C-C motif chemokine","5"
"A0A2I4B872","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9D5G2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K5KBZ4","C-C motif chemokine (Fragment)","4"
"A0A091HTK4","C-C motif chemokine (Fragment)","4"
"A0A7K5KB16","C-C motif chemokine (Fragment)","4"
"A0A7L1PQR1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7IDY9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7P7W8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A667XKM4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y4Q3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674AWK6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2Y064","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q2Z9V9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667ZM45","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667Y2N4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673WNR5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A668AGA3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667YWB7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"C1BM53","C-C motif chemokine","4"
"A0A7L1Q398","C-C motif chemokine (Fragment)","4"
"A0A3B3QA21","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3R8C6","C-C motif chemokine","4"
"A0A7K5VV09","C-C motif chemokine (Fragment)","4"
"A0A674C4D0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A674BG18","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674AXN4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2XV55","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K5PDV4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A674BG95","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y3L2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673WWX5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674BGL9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674AWV4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7F2C8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A674CFH3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667YW79","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667YNK8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3S751","C-C motif chemokine","4"
"A0A7K7SIV2","C-C motif chemokine (Fragment)","4"
"A0A674C5X1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y0L4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7I630","C-C motif chemokine (Fragment)","4"
"A0A7K7TDJ4","C-C motif chemokine (Fragment)","4"
"A0A2I4B2H8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L3YGY9","C-C motif chemokine (Fragment)","4"
"A0A7J6B5R6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9BEY1","C-C motif chemokine (Fragment)","4"
"A0A7K5TSQ8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K7PU39","C-C motif chemokine (Fragment)","4"
"A0A667ZRQ9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2XRN2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y464","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674D5R4","C-C motif chemokine","4"
"A0A7J5ZUE2","C-C motif chemokine","4"
"A0A672SKR9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A556TXD8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A226P957","C-C motif chemokine","4"
"A0A7K4KG05","C-C motif chemokine (Fragment)","4"
"A0A7N8Y933","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672HL11","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"R4JCM4","C-C motif chemokine","4"
"A0A7K6STM8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q2XI17","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A0S7GXF4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091LVB2","C-C motif chemokine (Fragment)","4"
"A0A7L3RTE2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L0HJY9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A091VFM6","C-C motif chemokine (Fragment)","4"
"A0A7L0HG68","C-C motif chemokine (Fragment)","4"
"A0A7K6DVG7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7EI15","C-C motif chemokine (Fragment)","4"
"A0A091V0E0","C-C motif chemokine (Fragment)","4"
"A0A7K6DTP5","C-C motif chemokine (Fragment)","4"
"A0A5A9P8I0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6DT74","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"W5N2D3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3T8M2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L3RD00","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7E1Y8","C-C motif chemokine (Fragment)","4"
"A0A7K5K5X1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091I874","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
